id,manager_id,transaction_date,price
51,1,2023-49-06/25/23 22:49:37,4734.95
52,1,2023-48-06/29/23 22:48:19,5825.35
53,1,2023-59-07/02/23 22:59:22,4928.10
54,1,2023-54-07/06/23 22:54:40,4707.05
55,1,2023-35-07/09/23 22:35:18,3901.25
56,1,2023-42-07/13/23 22:42:26,4071.45
57,1,2023-39-07/16/23 22:39:14,4464.65
58,1,2023-46-07/20/23 22:46:16,5243.85
59,1,2023-49-07/23/23 22:49:19,4772.65
60,1,2023-54-07/27/23 22:54:53,4952.50
61,1,2023-52-07/30/23 22:52:22,3960.60
62,1,2023-49-08/03/23 22:49:49,5235.70
63,1,2023-59-08/06/23 22:59:13,4529.75
64,1,2023-41-08/10/23 22:41:30,5374.40
65,1,2023-42-08/13/23 22:42:06,3973.40
66,1,2023-36-08/17/23 22:36:34,4775.80
67,1,2023-58-08/20/23 22:58:58,4311.90
68,1,2023-39-08/24/23 22:39:35,4866.10
69,1,2023-43-08/27/23 22:43:31,3840.80
70,1,2023-35-08/31/23 22:35:46,5051.50
71,1,2023-47-09/03/23 22:47:12,4139.90
72,1,2023-56-09/07/23 22:56:47,5014.75
73,1,2023-53-09/10/23 22:53:36,4189.60
74,1,2023-41-09/14/23 22:41:16,4471.85
75,1,2023-48-09/17/23 22:48:39,4376.20
76,1,2023-41-09/21/23 22:41:16,4947.45
77,1,2023-39-09/24/23 22:39:49,3943.10
78,1,2023-39-09/28/23 22:39:25,4519.00
79,1,2023-43-10/01/23 22:43:01,4505.60
80,1,2023-39-10/05/23 22:39:36,4908.85
81,1,2023-37-10/08/23 22:37:58,4540.70
82,1,2023-40-10/12/23 22:40:16,4516.45
83,1,2023-38-10/15/23 22:38:49,4186.45
84,1,2023-38-10/19/23 22:38:46,4891.95
85,1,2023-56-10/22/23 22:56:54,4290.95
86,1,2023-49-10/26/23 22:49:49,4462.05
87,1,2023-42-10/29/23 22:42:30,4691.50
88,1,2023-47-11/02/23 22:47:01,5279.40
89,1,2023-53-11/05/23 22:53:45,4742.25
90,1,2023-39-11/09/23 22:39:32,4550.20
91,1,2023-58-11/12/23 22:58:45,4468.40
92,1,2023-42-11/16/23 22:42:08,4550.70
93,1,2023-47-11/19/23 22:47:44,4206.25
94,1,2023-42-11/23/23 22:42:24,4439.10
95,1,2023-52-11/26/23 22:52:19,4381.35
96,1,2023-57-11/30/23 22:57:59,5133.40
97,1,2023-59-12/03/23 22:59:32,4771.65
98,1,2023-45-12/07/23 22:45:09,4567.95
99,1,2023-52-12/10/23 22:52:06,4023.20
100,1,2023-49-12/14/23 22:49:31,4820.90
101,1,2023-49-12/17/23 22:49:38,4070.60
102,1,2023-44-12/21/23 22:44:47,5260.30
103,1,2023-41-12/24/23 22:41:39,4078.20
104,1,2023-58-12/28/23 22:58:16,4945.30
105,1,2023-59-12/31/23 22:59:36,3940.85
106,1,2024-45-01/04/24 22:45:14,4883.50
107,1,2024-53-01/07/24 22:53:28,4467.55
108,1,2024-38-01/11/24 22:38:26,5083.80
109,1,2024-42-01/14/24 22:42:05,3988.95
110,1,2024-50-01/18/24 22:50:14,5650.00
111,1,2024-42-01/21/24 22:42:36,4515.55
112,1,2024-42-01/25/24 22:42:52,5183.75
113,1,2024-54-01/28/24 22:54:04,4843.30
114,1,2024-46-02/01/24 22:46:59,4868.40
115,1,2024-47-02/04/24 22:47:06,4232.15
116,1,2024-52-02/08/24 22:52:43,5661.90
117,1,2024-44-02/11/24 22:44:57,4430.05
